id,type,gender,skin tone,count,accessories,accessories,accessories,accessories,accessories,accessories,accessories
0,Urban,Feminine,Balanced,3,Green Eye Shadow,Earring,Blonde Bob,,,,
1,Urban,Masculine,Light,2,Smile,Mohawk,,,,,
2,Urban,Feminine,Dark,1,Wild Hair,,,,,,
3,Urban,Masculine,Light,3,Wild Hair,Nerd Glasses,Pipe,,,,
4,Urban,Masculine,Balanced,4,Big Shades,Wild Hair,Earring,Goat,,,
5,Urban,Feminine,Balanced,3,Purple Eye Shadow,Half Shaved,Earring,,,,
6,Urban,Masculine,Balanced,1,Do-rag,,,,,,
7,Urban,Feminine,Balanced,3,Wild White Hair,Spots,Clown Eyes Blue,,,,
8,Urban,Masculine,Light,2,Messy Hair,Luxurious Beard,,,,,
9,Urban,Masculine,Balanced,3,Clown Nose,Police Cap,Big Beard,,,,
10,Urban,Feminine,Light,2,Blue Eye Shadow,Mohawk,,,,,
11,Urban,Feminine,Balanced,3,Black Lipstick,Clown Eyes Green,Straight Hair Dark,,,,
12,Urban,Feminine,Light,2,Blonde Short,Purple Lipstick,,,,,
13,Urban,Feminine,Dark,3,Big Shades,Black Lipstick,Straight Hair Blonde,,,,
14,Urban,Feminine,Light,3,Pipe,Pilot Helmet,Hot Lipstick,,,,
15,Urban,Masculine,Pale,3,Luxurious Beard,Wild Hair,Regular Shades,,,,
16,Urban,Masculine,Balanced,3,Stringy Hair,Earring,Small Shades,,,,
17,Urban,Masculine,Dark,2,Frown,Mohawk,,,,,
18,Urban,Masculine,Balanced,2,Eye Mask,Muttonchops,,,,,
19,Urban,Feminine,Light,3,Bandana,Horned Rim Glasses,Hot Lipstick,,,,
20,Urban,Masculine,Dark,1,Crazy Hair,,,,,,
21,Urban,Masculine,Dark,3,Messy Hair,Classic Shades,Earring,,,,
22,Urban,Feminine,Light,2,Pilot Helmet,Purple Lipstick,,,,,
23,Urban,Masculine,Dark,3,Handlebars,Earring,Do-rag,,,,
24,Urban,Masculine,Dark,2,Smile,Mohawk Dark,,,,,
25,Urban,Feminine,Light,1,Wild White Hair,,,,,,
26,Urban,Feminine,Balanced,1,Dark Hair,,,,,,
27,Urban,Masculine,Dark,2,Peak Spike,Earring,,,,,
28,Urban,Masculine,Light,2,Big Shades,Crazy Hair,,,,,
29,Urban,Feminine,Balanced,3,Horned Rim Glasses,Half Shaved,Earring,,,,
30,Urban,Masculine,Light,2,Normal Beard Black,Cap,,,,,
31,Urban,Feminine,Light,1,Stringy Hair,,,,,,
32,Urban,Masculine,Dark,2,Frown,VR,,,,,
33,Urban,Masculine,Dark,1,Peak Spike,,,,,,
34,Urban,Feminine,Dark,2,Frumpy Hair,Purple Lipstick,,,,,
35,Urban,Masculine,Light,5,Cigarette,Peak Spike,Earring,Horned Rim Glasses,Normal Beard,,
36,Urban,Feminine,Balanced,1,Red Mohawk,,,,,,
37,Urban,Feminine,Light,2,Cap,Clown Eyes Blue,,,,,
38,Urban,Feminine,Dark,3,Frumpy Hair,Classic Shades,Purple Lipstick,,,,
39,Urban,Masculine,Dark,3,Frown,Shaved Head,Regular Shades,,,,
40,Urban,Masculine,Dark,3,Bandana,Chinstrap,Smile,,,,
41,Urban,Masculine,Light,3,Muttonchops,Wild Hair,Clown Eyes Green,,,,
42,Urban,Feminine,Light,2,Wild Hair,Cigarette,,,,,
43,Urban,Feminine,Balanced,1,Half Shaved,,,,,,
44,Urban,Masculine,Dark,1,Messy Hair,,,,,,
45,Urban,Masculine,Balanced,2,Earring,Mole,,,,,
46,Urban,Feminine,Balanced,2,Purple Lipstick,Straight Hair Dark,,,,,
47,Urban,Masculine,Light,1,Knitted Cap,,,,,,
48,Urban,Masculine,Dark,2,Big Shades,Mohawk,,,,,
49,Urban,Feminine,Light,2,Bandana,Purple Eye Shadow,,,,,
50,Urban,Masculine,Balanced,2,Spots,Fedora,,,,,
51,Urban,Masculine,Balanced,3,Muttonchops,Wild Hair,Earring,,,,
52,Urban,Masculine,Light,4,Shadow Beard,Earring,Nerd Glasses,Knitted Cap,,,
53,Urban,Feminine,Dark,2,Big Shades,Straight Hair,,,,,
54,Urban,Masculine,Light,1,Hoodie,,,,,,
55,Urban,Masculine,Dark,1,Eye Patch,,,,,,
56,Urban,Masculine,Light,1,Shaved Head,,,,,,
57,Urban,Masculine,Dark,1,Headband,,,,,,
58,Urban,Masculine,Balanced,2,Normal Beard Black,Hoodie,,,,,
59,Urban,Masculine,Pale,2,Muttonchops,Cowboy Hat,,,,,
60,Urban,Feminine,Dark,2,Stringy Hair,Purple Lipstick,,,,,
61,Urban,Feminine,Dark,1,Dark Hair,,,,,,
62,Urban,Feminine,Light,4,Hot Lipstick,Earring,Mohawk Dark,Clown Eyes Blue,,,
63,Urban,Masculine,Light,3,Earring,Shaved Head,Small Shades,,,,
64,Urban,Feminine,Balanced,2,Straight Hair Blonde,Purple Lipstick,,,,,
65,Urban,Feminine,Balanced,2,Eye Mask,Headband,,,,,
66,Urban,Feminine,Light,1,Tassle Hat,,,,,,
67,Urban,Feminine,Light,3,Half Shaved,Purple Lipstick,3D Glasses,,,,
68,Urban,Masculine,Light,2,Nerd Glasses,Do-rag,,,,,
69,Urban,Masculine,Balanced,2,Normal Beard Black,Fedora,,,,,
70,Urban,Feminine,Balanced,4,Crazy Hair,Regular Shades,Earring,Cigarette,,,
71,Urban,Feminine,Dark,3,Green Eye Shadow,Half Shaved,Purple Lipstick,,,,
72,Urban,Masculine,Light,4,Fedora,Earring,Nerd Glasses,Normal Beard,,,
73,Urban,Feminine,Balanced,3,Black Lipstick,Bandana,Earring,,,,
74,Urban,Masculine,Light,3,Shadow Beard,Earring,Mohawk Dark,,,,
75,Urban,Masculine,Dark,3,Shadow Beard,Knitted Cap,Eye Patch,,,,
76,Urban,Masculine,Dark,2,Cigarette,Do-rag,,,,,
77,Urban,Masculine,Light,2,Stringy Hair,Handlebars,,,,,
78,Urban,Masculine,Balanced,3,Handlebars,Knitted Cap,Eye Patch,,,,
79,Urban,Masculine,Light,2,Normal Beard,Mohawk Dark,,,,,
80,Urban,Masculine,Pale,2,Wild Hair,Mustache,,,,,
81,Urban,Masculine,Dark,2,Headband,Small Shades,,,,,
82,Urban,Masculine,Pale,1,Headband,,,,,,
83,Urban,Masculine,Dark,3,Vape,Shaved Head,Small Shades,,,,
84,Urban,Masculine,Dark,3,Messy Hair,Big Shades,Earring,,,,
85,Urban,Feminine,Light,1,Crazy Hair,,,,,,
86,Urban,Feminine,Light,4,Knitted Cap,Green Eye Shadow,Hot Lipstick,Earring,,,
87,Urban,Masculine,Dark,2,Hoodie,Earring,,,,,
88,Urban,Feminine,Dark,2,Cap,Hot Lipstick,,,,,
89,Urban,Feminine,Light,1,Choker,,,,,,
90,Urban,Masculine,Balanced,2,Hoodie,Eye Patch,,,,,
91,Urban,Feminine,Dark,2,Clown Nose,Straight Hair,,,,,
92,Urban,Feminine,Dark,3,Pink With Hat,Purple Lipstick,Nerd Glasses,,,,
93,Urban,Feminine,Dark,1,Bandana,,,,,,
94,Urban,Feminine,Light,3,Pink With Hat,Regular Shades,Earring,,,,
95,Urban,Masculine,Balanced,2,Earring,Mohawk,,,,,
96,Urban,Feminine,Dark,1,Blonde Bob,,,,,,
97,Urban,Masculine,Balanced,1,Wild Hair,,,,,,
98,Urban,Feminine,Dark,3,Black Lipstick,Welding Goggles,Dark Hair,,,,
99,Urban,Masculine,Balanced,2,Cigarette,Hoodie,,,,,
100,Urban,Feminine,Balanced,1,Tassle Hat,,,,,,
101,Urban,Masculine,Balanced,2,Police Cap,Nerd Glasses,,,,,
